"filename", "language", "Python", "TXT", "C++", "comment", "blank", "total"
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\core\bitboard.cpp", "C++", 0, 0, 95, 47, 18, 160
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\core\bitboard.hpp", "C++", 0, 0, 53, 7, 20, 80
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\core\constants.hpp", "C++", 0, 0, 19, 2, 5, 26
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\core\move.cpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\core\move.hpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\core\movegen.cpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\core\movegen.hpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\core\position.cpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\core\position.hpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\core\test_bitboard.cpp", "C++", 0, 0, 64, 11, 17, 92
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\core\zobrist.cpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\core\zobrist.hpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\main.cpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\nn_inference\nn_inference.cpp", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\nn_inference\nn_inference.hpp", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\search\eval.cpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\search\eval.hpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\search\search.cpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\search\search.hpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\search\tt.cpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\search\tt.hpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\uci\engine.cpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\uci\engine.hpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\uci\uci.cpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\cpp\uci\uci.hpp", "C++", 0, 0, 0, 0, 2, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\python\hyperion_nn\__init__.py", "Python", 0, 0, 0, 2, 1, 3
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\python\hyperion_nn\config.py", "Python", 0, 0, 0, 5, 2, 7
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\python\hyperion_nn\data_utils\__init__.py", "Python", 0, 0, 0, 2, 1, 3
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\python\hyperion_nn\data_utils\dataset.py", "Python", 10, 0, 0, 15, 9, 34
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\python\hyperion_nn\data_utils\fen_parser.py", "Python", 94, 0, 0, 76, 34, 204
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\python\hyperion_nn\data_utils\move_encoder.py", "Python", 31, 0, 0, 3, 11, 45
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\python\hyperion_nn\models\__init__.py", "Python", 0, 0, 0, 2, 1, 3
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\python\hyperion_nn\models\resnet_cnn.py", "Python", 0, 0, 0, 2, 0, 2
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\python\hyperion_nn\training\__init__.py", "Python", 0, 0, 0, 2, 1, 3
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\python\hyperion_nn\training\evaluate.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\python\hyperion_nn\training\train.py", "Python", 0, 0, 0, 5, 1, 6
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\python\hyperion_nn\utils\__init__.py", "Python", 0, 0, 0, 2, 1, 3
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\python\hyperion_nn\utils\constants.py", "Python", 28, 0, 0, 3, 5, 36
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\python\tests\README.txt", "TXT", 0, 2, 0, 0, 1, 3
"c:\Users\thedu\OneDrive\Desktop\C++\hyperion-ce\Hyperion\src\python\tests\fen_parser_test.py", "Python", 91, 0, 0, 21, 16, 128
"Total", "-", 254, 2, 231, 209, 183, 879